id;front_content;back_content;front_sound_file_path
1;television;din6 si6;1917
2;soccer ball/soccer;zuk1 kau4;572
3;living room;haak3 teng1;435
4;Asia;aa3 zau1;3431
5;to walk/to leave;zau2;2046
6;stubbornly/relentlessly;ngaang6 hai6;3053
7;to take away/to take out/to bring over;ling1;486
8;mirror/lens;geng3;2773
9;intelligent/smart;cung1 ming4;389
10;academic degree/diploma;hok6 wai2;3110
11;Do you have an English menu?;nei5 dei6 jau5 mou5 jing1 man4 caan1 paai4 aa1?;1677
12;to lend/to borrow/to take an opportunity;ze3;2345
13;(coll.) maternal grandfather;lou5 je4;2353
14;classifier for birds and certain animals/one of a pair/some utensils/vessels;zek3;2700
15;Pu'er tea;pou2 lei5;3005
16;temperament/disposition;pei4 hei3;1933
17;bread;min6 baau1;692
18;certainly/definitely;jat1 sat6;1618
19;loss of face/pardon me/excuse me;sat1 lai5;1495
20;towel;mou4 gan1;3420
21;eye;ngaan5;2884
22;lake;wu4;465
23;performance/to perform;biu2 jin2;2352
24;as one wishes/as one pleases/casual/careless;ceoi4 bin6;2764
25;to conduct oneself/to behave with integrity;zou6 jan4;1345
26;to lift/to hold up/to raise;geoi2;2339
27;son;zai2;535
28;ordinarily/usually;ping4 si4;408
29;chair;dang3;1692
30;genuine/real;zan1 zing3;978
31;important/significant/major;zung6 jiu3;1160
32;to reserve/to agreeto subscribe;deng6;2169
33;I would like to order;ngo5 soeng2 giu3;261
34;singing star/famous singer;go1 sing1;1078
35;(point in) time/moment;si4 hau6;1179
36;office;baan6 gung1 sat1;1625
37;homework;gung1 fo3;1574
38;paperclassifier for documents, letter etc;zi2;905
39;small/young;sai3;2820
40;Can you help me translate it?;nei5 hak1 m4 hak1 ji5 bong1 ngo5 faan1 jik6 aa1?;2955
41;pig;zyu1;71
42;to learn/to study;hok6;3410
43;to understand;ming bak;1316
44;young lady/miss;siu je;2426
45;(of a child) obedient, well-behaved;gwaai1;2666
46;thing/matter;je5;2244
47;go down/descend/down/downward/carrying on an action/keeping a condition unchanged;laai6 heoi2;1070
48;Mandarin;pou2 tung1 waa2;2380
49;freezer/deep freeze;bing1 gwai6;3031
50;sheep/goat;joeng4;91
51;cup/classifier for containers of liquids: glass/cup;bui1;3016
52;here;ni1 do3;1143
53;come in;jap6 lei4;1020
54;library;tou4 syu1 gun2;1828
55;dentist;ngaa4 ji1;1505
56;often/constantly;si4 si4;3561
57;market place/market (also in abstract);si5 coeng4;449
58;to enter/to go into/to join;jap6;2135
59;to sing;coeng3;1659
60;every day;jat6 jat6;1153
61;circumstances/situation;cing4 ying4;1123
62;lead/pencil;jyun4 bat1;2513
63;how?how is it?;dim2 joeng6;3447
64;classmate;tung4 hok6;807
65;red;hung4;1775
66;handsome;jing1 zeon3;4
67;centimeter;lei4 mai5;1702
68;prefix indicating ordinal number;dai6;2879
69;to cover/to hold/package/container/bag;baau1;2570
70;married woman/Mrs./Madam/wife;taai3 taai3;305
71;fetch/take/get/ask for;lo2;1426
72;394052;;None
73;to hold (a meeting, ceremony etc);geoi2 haang4;2914
74;to break something;daa2 laan6 zo2;1448
75;useless;mou5 jung6;2054
76;husband;lou5 gung1;575
77;dry;gon1;563
78;simple;gaan2 daan1;1925
79;to make an appointmentto invite;joek3;2851
80;passport;paa1 si6 but3;773
81;weekdays;haan4 jat6;3377
82;aunt (father's younger sister);gu1 ze2;1108
83;oolong (tea);wu1 lung4;1575
84;to rememberto bear in mindto learn by heart;gei3 zyu6;3176
85;namely/that is;jik6 zik1;3524
86;how much?;gei2 do1;641
87;absolutely/surely/directly;zik6 cing4;1161
88;Cheers!;jam2 bui1;1064
89;to accuse wrongly/to treat unjustly/injustice/wronged;jyun1 wong2;1277
90;this;ne1 go3;1091
91;to lie down;fan3 dai1;2323
92;life/lifestyle;sang1 wut6;3020
93;street;gaai1;297
94;glove/mitten;sau2 tou3;2729
95;lazy;laan5;2887
96;danger/dangerous;ngai4 him2;270
97;to sleep (Cantonese)Mandarin equivalent: 睡shuì;xùn;2574
98;cake;daan6 gou1;1200
99;wrist watch;sau2 biu1;1320
100;to press;gam6;3034
101;;[sound:rec1446758865.mp3];None
102;sentence-final particle used to emphasize the certainty of a changed condition/the finality of a completed action/to express assurance/to indicate an exclamation;laak3;1373
103;theater;hei3 jyun2;3458
104;Japan/Japanese;jat6 bun2;125
105;to look forward to;kei4 doi6;460
106;share/to divide/to separate/one tenth (of certain units)minute/a point (in sports or games)/0.01 yuan;fan1;2158
107;color;ngaan4 sik1;630
108;at that time;go2 zan6 si4;52
109;autumn;cau1 tin1;1606
110;hurried/anxious;sam1 gap1;767
111;online;mong5 soeng6;1474
112;feeling/emotion/deep affection;gam2 cing4;1264
113;serves one right/had it coming/blameworthy;dai2 sei2;2351
114;bowl/cup;wun2;2045
115;interesting/cute;dak1 ji3;2775
116;Good afternoon!;ng5 ngon1;365
117;to meet/to see each other;gin3 min6;1998
118;broker ;ging1 gei2;770
119;business executive/foreign business manager/top class of kindergarten or school grade;daai6 baan1;1133
120;restaurant;caan1 gun2;3090
121;to repair/to patch/to supplement;bou2;3030
122;tonight;jīn wǎn;2869
123;singer;go1 sau2;1324
124;to save sb's life(interjection) Help!(interjection) Save me!;gau3 meng6;806
125;medicine;joek6;1122
126;May I see the bill please?;ngo5 hak1 m4 hak1 ji5 tai2 haa2 zoeng3 daan1 aa1;1807
127;frank/straightforward/honest/to confess;taan2 baak6;1406
128;to marry/to get married;git3 fan1;1170
129;???????;mai5 fan2;3403
130;thirsty;hau2 hot3/geng2 hot3;None
131;doctor;ji1 saang1;2280
132;world;sai3 gaai3;170
133;to topple/to collapse;lam1;488
134;water;seoi2;2023
135;pen/pencil;bat1;245
136;I think there's a mistake on this bill;ngo5 gaau3 dak1 ne1 zoeng1 daan1 jau5 jat1 do6 co3 zo2;1021
137;to record/to note/to remember;gei3;1686
138;down/below/next (week etc)/second (of two parts)/to go down;haa5;1827
139;moodframe of mind;sam1 cing4;271
140;jacket;lau1;3398
141;earth;dei6;2384
142;is there?/are there?/do you have?;jau5 mou5;1814
143;shrimp;haa1;192
144;pear;lei4;1250
145;a boy/a male child;naam4 zai2;1622
146;to fly/to cut (hair)/fare ticket;fei1;2487
147;evidently/really/indeed;dik1 kok3;1503
148;Pleased to meet you;hou2 hoi1 sam1 jan6 sik1 nei5;2911
149;forest;sam1 lam4;2916
150;one/self/;zi6 gei2;2287
151;full (of food);baau2;2602
152;many/much/more;do1;1139
153;to solve/to settle (a dispute)/to resolve;gaai2 kyut3;2411
154;-ing;gan2;946
155;according to/to shine/to illuminate;ziu3;209
156;2 years ago;loeng5 nin4 cin4;247
157;fork;caa1;18
158;door;mun4;1798
159;opportunitychance;gei1 wui6;1975
160;despicable;zin6 gaak3;377
161;twoboth;liǎng;2266
162;joke;siu3 waa2;1741
163;to showerto bathe;cung1 loeng4;3371
164;business;saang1 ji3;2793
165;noodles;min6;2363
166;wedding/marriage;fan1 si6;285
167;to go out;ceot1 heoi2;766
168;everyone;dai ga;250
169;thief;siu2 tau1;3466
170;(coll.) bicycle/bike;daan1 ce1;2247
171;school;hok6 haau3;1313
172;fake/vacation/holiday;gaa2 gaa3;None
173;or (used in questions giving a choice);ding6 hai6;2311
174;needle/pin/injection;zam1;945
175;Not only...but also;m4 zi2... zung6;915
176;to give change;zaau2 cin2;148
177;possessive particle;ge3;2825
178;afternoon;aan3 zau3;3094
179;new;san1;994
180;to be convinced (that sth is true)/to believe;soeng1 seon3;1163
181;to pay back/to return/still/yet;waan4;1098
182;chat/talk/negotiate/get on with;king1;1636
183;day before yesterday;cin4 jat6;1597
184;to freezeto feel very cold;dung3;1475
185;novelfiction;siu2 syut3;1032
186;until now;deoi3 ji4 gaa1;2650
187;wine (esp. rice wine)/alcoholic beverage;zau2;268
188;preparation/to prepare;zeon2 bei6;2359
189;difficult/hard;gaan1 naan4;1391
190;anxious/worried;daam1 sam1;913
191;to roast;siu1;3052
192;man power/manual work;jan4 gung1;2632
193;;[sound:rec1446699476.mp3];None
194;easy/likely/liable;jung4 ji6;3060
195;to stay up late;ngaai4 je6;150
196;[final particle] merely/only (used in statement or in rhetorical question);zaa3;3486
197;to be careful/to take care;siu2 sam1;3493
198;????????;si6 zap1 zing1 fung6 zaau2;3119
199;can you recommend anything?;jau5 mat1 je5 hak1 ji5 gaai3 siu6 aa1;2609
200;to happen/to occur;faat3 saang1;2292
201;to annoy/to irritate;gik1 sei2;889
202;to be afraid/to fear/perhaps;paa3;1990
203;to go over there;gwo1 heoi2;980
204;incorrect/not proper;m4 ngaam1;2165
205;no wonder;m4 gwaai3 dak1;1968
206;keyboard;gin6 pun4;3317
207;to be enough;gau3;1880
208;Tieguany/in tea;tit3 gun1 jam1;2025
209;an hour;jat1 go3 zung1;3203
210;bed/couch/classifier for beds;cong4;3028
211;right;jau6;1288
212;summer vacation;syu2 gaa3;2994
213;to hold/to grasp by hand;zaa1;60
214;wallet/purse;ngan2 baau1;1361
215;orange (fruit/tree/color);caang2;1399
216;beach;saa1 taan1;1129
217;ugly;wat6 dat6;3173
218;spoon;ci4 gang1;1404
219;to go outto come out;ceot1;696
220;suit/Western-style clothes;sai1 zong1;1461
221;to pass a test/to meet the standard required/qualified;hap6 gaak3;1120
222;classifier for enumerated events: time;ci3;2189
223;to draw/to paint (6th tone)/drawing, painting (2nd tone);waa2*6;1956
224;stable/calm/composesurely/certainly/definitely/to decide/to fix/to order/to book/to subscribe;ding6 or deng6;1410
225;to watch a movie;tai2 hei3;1826
226;mosquito;man1;2084
227;I'd like to reserve a table;ngo5 soeng2 deng6 jat1 zoeng1 toi4;811
228;window;coeng1;2598
229;classroom;gaau3 sat1;1253
230;chicken egg;gai1 daan2;859
231;to kick up a fuss;nau2 gai2;373
232;radio;sau1 jam1 gei1;1977
233;the back of the human body;bui3 zek3;334
234;in former times/the olden days;gau6 si4;340
235;tea;caa4;3508
236;cheapflat, level, even;peng4 or ping4;None
237;to experience/experience;ging1 jim6;2269
238;to run/to jog;paau2 bou6;1470
239;far;jyun5;1723
240;hot (of weather);jit6;897
241;moist/wet;sap1;847
242;how much/how many/several/a few;gei1;3273
243;immediately/right away;zik1 haak1;1616
244;to cook/to boil;zyu2;2721
245;convenient;fong1 bin6;2040
246;refrigerator;syut3 gwai6;40
247;smoke cigarette;jin1;591
248;today;gam1 jat6;2701
249;to have a fever;faat3 siu1;313
250;How's it going?;dim ah;31
251;first (of all)/in the first place;sau2 sin1;571
252;hatcap;mou2;3550
253;to dance;tiu3 mou5;1395
254;to save/to rescue;gau3;1836
255;secret;bei3 mat6;3506
256;to forgive/to pardon;jyun4 loeng6;1156
257;but/however/only/merely;bat1 gwo1;3075
258;zero;ling4;3311
259;to leave (a message etc)/to stay/to remain/to keep;lau4;178
260;important/critical/vital;gan2 jiu1;2483
261;winter;dung1 tin1;1983
262;fruit;saang1 gwo2;103
263;hospital;ji1 jyun2;2178
264;this way/that way;daam6 joeng6;2774
265;gasoline;din6 jau4;2660
266;to estimate/appriase/assess;gu2;349
267;What's your name?;nei5 giu3( zou6) mat1 meng4 aa1？;2779
268;I would like to move to another room;ngo5 soeng2 wun6 gwo1 gaan1 fong2;1981
269;eldest brother;daai6 go1;709
270;drunk;zeoi3;2204
271;to finish/to have completed;jyun4;2018
272;percent;baak3 fan6 zi1;1166
273;to get worse/to degenerate/to go bad (food);bin3 waai6;1185
274;congratulations;gung1 hei2;2000
275;to hold an umbrella;daam1 ze1;679
276;adorable/cute/lovely;ho2 ngoi3;661
277;concert;jin2 coeng3 hui2;2560
278;medical/medicine/to cure/to treat;ji1;2185
279;train station;fo2 ce1 zaam6;395
280;eat!bon appetit!;sik6 faan6;2191
281;to put/to let go;fong3;3073
282;company/firm/corporation;gung1 si1;853
283;stupid;ceon2;873
284;heart;sam1;2993
285;if;jyu4 gu2;2302
286;do not care/not concerned with/regardless of/no matter what;m4 lei5;1882
287;attend class;soeng5 tong4;3565
288;to force (sb to do sth)/to compelto pressure;bik1;3480
289;lighter/cigarette lighter;daa2 fo2 gei1;2161
290;to hit/to strike ;daa1;1379
291;open (the door);hoi1 mun4;1193
292;wok;wok6;1736
293;flower/to spend (money, time);faa1;419
294;We have a reservation;ngo5 dei6 deng6 zo2 zoeng1 toi4 ge3 laak3;2536
295;shut up;sau1 seng1;2078
296;not/negate verb or adj.;m4;1318
297;since (a time)/ever since;zi6 cung4;1356
298;can/may/able to;hak1 ji5;1437
299;boss/business proprietor;lou5 baan2;1919
300;almost;zau6 lei4;1874
301;reason/grounds/justification;lei5 jau4;64
302;socks/stockings;mat6;2316
303;to do work/to do things;zou6 je5;1982
304;to need/to be necessary;sai2;3510
305;really;zan1 hai6;921
306;to request/to beg/to beseech;kau4;2814
307;dish/plate;dip6;117
308;[prep] used as a disposal marker very;zoeng1;1238
309;to pay the bill (in a restaurant etc);maai4 daan1;1210
310;clear/distinct/to understand thoroughly;ceng1 co2;2957
311;to follow from/because of/reason/cause;jau4;2282
312;to look at;tai2;20
313;always (previously)/a period of time in the recent past;jat1 hoeng3;2522
314;to keep thinking about/to be anxious about/to be preoccupied;gwaa3 zyu6;1119
315;(of a woman) to marry/to marry off a daughter;gaa3;72
316;to sign one's name/visa;cim1;610
317;final particle for making an assertion;gaa2;741
318;to block; to be in the way; to obstruct;zo2 zyu6;15
319;classifier for years (of age);seoi3;769
320;expresses an idea imposing a limitation of some kind;ge3 ze1;330
321;beer (loanword);be1 zau2;2639
322;never before;mei6 cang4;3232
323;although/even though/even if;seoi1 jin4;1459
324;animal;dung6 mat6;585
325;lettuce;saang1 coi3;690
326;soap;faan1 gaan2;2193
327;a lot/many;a great deal of;daai6 baa2;2546
328;There's no hot water;mou5 jit6 seoi2;168
329;sun;taai3 joeng4;300
330;father/dad (informal);lou5 dau2;1338
331;sand;saa1;2686
332;plastic bag;gaau1 doi2;17
333;amiable/cordial/close and dear/familiar;can1 cit3;1299
334;face/turn towards/direction/inclination/tendency/towards/to/from/against;hoeng3;1950
335;meaning/intention;ji3 si1;1455
336;expensive;gwai3;2970
337;eachevery;mui5;736
338;a little;di1;1497
339;doctorate student;bok3 si6 saang1;3217
340;cannot stand it anymore;ding2 m4 zyu6;1788
341;to concern/to involve;gwaan1;1208
342;book;syu1;143
343;beyond compare;mou5 dak1 ding2;2763
344;sorry;deoi3 m4 zyu6;74
345;blackboard;haak1 baan2;2534
346;appearance shape/manner/pattern/way;joeng6;1231
347;arrogant;zi6 daai6;1257
348;???????;haa1 gau2 coi3 gaau2;385
349;honestsincereopen and guilelessnaive;lou5 sat6;927
350;cannot make it/too late for sth./;gon2 m4 cit3;3255
351;clothing;saam1 fu3;2396
352;Wan tan;wan4 tan1;3409
353;what time?when?;gei1 si4;3389
354;There's a few problems with the room;gaan1 fong2 jau5 di1 man6 tai4;574
355;impatient;mou5 noi6 sing3;2868
356;younger female cousin;biu2 mui6;366
357;soon/a moment/a while/a burst/a fit;jat1 zan6;2267
358;curious;taam1 dak1 ji3;2298
359;to teach;gaau3;3233
360;altogether;jat1 gung6;312
361;summer;haa6 tin1;416
362;a local/native person;bun2 dei6 jan4;496
363;nervous/tense/stressed;gan2 zoeng1;2265
364;Mister/husband;sin1 saang1;1416
365;small bird;zoek3;1544
366;gradeyear (in school, college etc);nin4 kap1;1035
367;to wait for;dang2;1624
368;moon/month;jyut6;1840
369;talented/smart/clever;lek1;998
370;table;toi4;748
371;small bag/wallet/pouch/pocket (in clothing);ho4 baau1;1762
372;younger sister;mui6;2753
373;to date sb/to court;paak3 to1;1991
374;sweet;tim4;1115
375;to catch cold;soeng1 fung1;3239
376;head/hair style/the top/beginning;tau4;2126
377;if/in case/what if;joek6 gwo2;3242
378;10,000;maan6;801
379;old/opposite: new 新;gau6;166
380;to rise/to raise/to get up;hei2;1633
381;meeting/conference;wui6 ji5;1175
382;email;din6 jau4;1150
383;to deep fry;zaa3;1583
384;to take care of/to manage;daa2 lei5;2408
385;rockstone;sek6;1949
386;purple;zi2 sik1;556
387;wardrobe (to hang clothes);ji1 gwai6;1646
388;to dream;faat3 mung6;1884
389;speech/saying/words;syut3 waa6;3126
390;to stir-fry;caau2;935
391;Cantonese particle equivalent to 了le or 過guò|过guò;zo2;2995
392;day of a month/number;hou4;3505
393;eat while it's hot;can3 jit6 sik6;2103
394;assume;ji5 wai4;3042
395;conscientiousearnestserious;jing6 zan1;2387
396;fruit juice;gwo2 zap1;520
397;to mailto send;gei3;2915
398;to choose/to pick/to sort out/to pick up;gaan2;2
399;confused;mung2 bai3 bai3;2210
400;correct/suitable/to suit sb/just now;ngaam1;3487
401;surely/certainly/necessarily/must;jat1 deng6;3226
402;different;m4 tung4;2061
403;most(more colloquial in Cantonese than 最);zi3;1830
404;face/side/surface/noodles;min6;2026
405;plane ticket;gei1 piu3;3514
406;to read/to study (a degree course)/to read aloud;nim6;1112
407;grass;cou2;1013
408;Merry Christmas and Happy New Year;sing3 daan3 zit3 tung4 san1 nin4 faai3 lok6;2723
409;car/automobile;hei3 ce1;2465
410;durian;lau4 lin4;3018
411;why;dim2 gaai2;223
412;Is there a restaurant nearby?;fu6 gan6 jau5 mou5 caan1 gun2 aa1?;2140
413;Guangdong;gwong2 dung1;3298
414;to move (i.e. relocate oneself)/to move (sth relatively heavy or bulky);bun1;1674
415;see you tomorrow;teng1 jat6 gin3;318
416;to scold/berate/quarrel with;naau6;1182
417;to repeat/furthermore/even/still/heavy;cung4 cung5;None
418;all/also;dou1;2076
419;(reception) hall/living room;teng1;1725
420;to buy/to purchase;maai5;517
421;east,south,west and north/all directions;dung1 naam4 sai1 baak1;1764
422;health/healthy;gin6 hong1;1619
423;blood;hyut3;2834
424;satisfiedpleasedto one's satisfaction;mun5 ji3;2361
425;both husband and wife;loeng5 gung1 po4;1062
426;soon/a moment/a while;jat1 zan6 gaan1;2988
427;driver's licence;ce1 paai4;916
428;extremely/pole (geography, physics)/utmost/top;gik6;2406
429;to speak up/to give voice;ceot1 seng1;3008
430;weather;tin1 hei3;1746
431;Please speak more slowly;ceng2 nei5 gong2 maan6 di1 nei5 hak1 m4 hak1 ji5 gong2 maan6 siu2 siu2 aa1?;None
432;girl;jyu5 zai2;478
433;to begin/beginning/to start;hoi1 ci2;445
434;each and every one;go3 go3;357
435;excuse me/sorry;m4 hou2 ji3 si1;241
436;to clean/clean;ceng1 git3;50
437;to meddle in;caap3 sau2;1296
